City,Days Overdue Breakdown,Loan Term in Years,Origination Date,Segment,State,Amount,Amount Due,Avg. Interest Rate,Calc for Metrics Parameter,Days Overdue,Loan Term in Months,No. of Loans,Risk Rate
Boston,76-90,11-20 Years,2022-06-11,Commercial,Massachusetts,500.0,534.0,7,500,78,216,1,1
Providence,76-90,11-20 Years,2021-04-06,Commercial,Rhode Island,5000.0,5317.0,6,"5,000",90,192,1,3
Galveston,46-60,1-10 Years,2021-07-06,Small Business,Texas,4000.0,4238.0,6,"4,000",53,84,1,4
Bowie,61-75,11-20 Years,2021-12-31,Commercial,Maryland,1000.0,1041.0,4,"1,000",61,240,1,1
Waltham,31-45,1-10 Years,2019-11-21,Commercial,Massachusetts,2000.0,2122.0,6,"2,000",35,120,1,3
Greenville,46-60,11-20 Years,2020-02-24,Small Business,South Carolina,6000.0,6319.0,5,"6,000",48,180,1,2
Dallas,0-15,1-10 Years,2021-05-26,Small Business,Texas,2000.0,2057.0,3,"2,000",1,96,1,2
El Paso,0-15,11-20 Years,2021-06-06,Commercial,Texas,500.0,527.0,5,500,14,144,1,1
Green Bay,46-60,11-20 Years,2019-11-12,Commercial,Wisconsin,500.0,532.0,6,500,48,132,1,4
Dayton,76-90,21-30 Years,2019-09-21,Commercial,Ohio,500.0,531.0,6,500,82,360,1,3
Fort Worth,46-60,21-30 Years,2021-08-08,Commercial,Texas,500.0,521.0,4,500,49,336,1,4
Tampa,90+,1-10 Years,2019-08-04,Small Business,Florida,500.0,533.0,7,500,92,84,1,2
Fort Worth,76-90,11-20 Years,2019-11-22,Small Business,Texas,4000.0,4243.0,6,"4,000",78,144,1,2
Boise,16-30,1-10 Years,2020-12-20,Small Business,Idaho,2000.0,2106.0,5,"2,000",20,72,1,2
Pensacola,31-45,21-30 Years,2020-11-14,Commercial,Florida,500.0,534.0,7,500,44,360,1,4
Amarillo,16-30,11-20 Years,2020-08-16,Commercial,Texas,500.0,527.0,5,500,26,228,1,2
Youngstown,0-15,21-30 Years,2020-10-03,Commercial,Ohio,500.0,535.0,7,500,5,288,1,1
South Bend,0-15,21-30 Years,2021-04-10,Commercial,Indiana,500.0,525.0,5,500,14,348,1,4
Little Rock,61-75,11-20 Years,2022-03-23,Commercial,Arkansas,500.0,524.0,5,500,70,168,1,2
Salt Lake City,31-45,21-30 Years,2019-10-17,Commercial,Utah,500.0,521.0,4,500,36,312,1,2
Vero Beach,31-45,21-30 Years,2020-05-22,Commercial,Florida,8000.0,8386.0,5,"8,000",37,336,1,3
Bronx,16-30,11-20 Years,2021-09-27,Commercial,New York,1000.0,1053.0,5,"1,000",19,192,1,2
Boise,61-75,11-20 Years,2021-06-21,Commercial,Idaho,500.0,528.0,6,500,70,192,1,1
Spokane,76-90,11-20 Years,2021-06-22,Commercial,Washington,2000.0,2134.0,7,"2,000",76,168,1,4
Stamford,16-30,11-20 Years,2019-11-28,Commercial,Connecticut,500.0,533.0,7,500,17,216,1,4
Louisville,0-15,21-30 Years,2022-05-02,Commercial,Kentucky,500.0,535.0,7,500,3,300,1,1
Kingsport,0-15,21-30 Years,2021-07-06,Commercial,Tennessee,1000.0,1046.0,5,"1,000",13,276,1,1
Denver,31-45,1-10 Years,2021-11-23,Small Business,Colorado,16000.0,16894.0,6,"16,000",35,84,1,1
Washington,90+,11-20 Years,2020-09-09,Small Business,District of Columbia,1000.0,1025.0,3,"1,000",94,144,1,2
Newark,76-90,11-20 Years,2020-11-23,Small Business,New Jersey,500.0,520.0,4,500,88,180,1,2
Columbia,46-60,11-20 Years,2019-09-21,Commercial,Missouri,500.0,528.0,6,500,56,240,1,1
Brockton,16-30,21-30 Years,2019-07-21,Commercial,Massachusetts,500.0,528.0,6,500,30,276,1,1
Winter Haven,46-60,11-20 Years,2022-02-02,Commercial,Florida,500.0,533.0,7,500,59,180,1,2
Fayetteville,46-60,11-20 Years,2021-09-14,Home Mortgage,North Carolina,9000.0,9414.0,5,"9,000",59,228,1,4
Orlando,31-45,21-30 Years,2021-04-12,Home Mortgage,Florida,500.0,523.0,5,500,40,264,1,2
Fort Lauderdale,31-45,11-20 Years,2021-05-18,Home Mortgage,Florida,500.0,527.0,5,500,44,204,1,2
Springfield,16-30,21-30 Years,2021-08-23,Home Mortgage,Massachusetts,500.0,525.0,5,500,22,348,1,1
Miami,61-75,21-30 Years,2021-09-26,Home Mortgage,Florida,2000.0,2115.0,6,"2,000",61,276,1,4
Prescott,16-30,1-10 Years,2021-02-24,Home Office,Arizona,500.0,538.0,8,500,22,60,1,1
Aiken,31-45,1-10 Years,2022-02-09,Small Business,South Carolina,500.0,533.0,7,500,39,96,1,4
Salt Lake City,16-30,1-10 Years,2022-03-25,Small Business,Utah,500.0,532.0,6,500,17,84,1,4
Denver,31-45,1-10 Years,2020-08-14,Small Business,Colorado,1000.0,1053.0,5,"1,000",42,84,1,1
Hartford,61-75,1-10 Years,2019-09-06,Commercial,Connecticut,1000.0,1042.0,4,"1,000",67,120,1,4
Sacramento,90+,21-30 Years,2020-08-31,Commercial,California,500.0,521.0,4,500,91,252,1,4
Ashburn,0-15,11-20 Years,2021-11-07,Commercial,Virginia,500.0,521.0,4,500,2,228,1,4
Houston,31-45,11-20 Years,2019-11-24,Commercial,Texas,7000.0,7353.0,5,"7,000",44,216,1,1
New York City,76-90,1-10 Years,2022-05-04,Small Business,New York,500.0,519.0,4,500,83,60,1,4
Huntsville,61-75,1-10 Years,2022-07-12,Small Business,Alabama,500.0,515.0,3,500,68,72,1,2
Glendale,31-45,11-20 Years,2022-02-05,Small Business,Arizona,500.0,522.0,4,500,34,180,1,3
Oceanside,76-90,1-10 Years,2020-04-10,Small Business,California,1000.0,1042.0,4,"1,000",88,120,1,3
Orlando,31-45,11-20 Years,2020-08-15,Small Business,Florida,1000.0,1031.0,3,"1,000",32,144,1,1
Louisville,61-75,1-10 Years,2022-05-13,Small Business,Kentucky,500.0,527.0,5,500,67,120,1,2
Oklahoma City,76-90,11-20 Years,2021-01-19,Small Business,Oklahoma,500.0,532.0,6,500,90,156,1,4
Chico,16-30,21-30 Years,2021-11-17,Commercial,California,1000.0,1050.0,5,"1,000",26,360,1,1
Omaha,46-60,11-20 Years,2021-11-24,Commercial,Nebraska,1000.0,1065.0,6,"1,000",47,228,1,3
Wichita Falls,76-90,11-20 Years,2022-06-07,Commercial,Texas,500.0,522.0,4,500,85,228,1,2
Trenton,76-90,11-20 Years,2022-05-03,Home Mortgage,New Jersey,500.0,522.0,4,500,86,228,1,1
Minneapolis,90+,11-20 Years,2021-11-23,Small Business,Minnesota,500.0,513.0,3,500,93,144,1,3
Houston,46-60,11-20 Years,2019-07-09,Small Business,Texas,6000.0,6165.0,3,"6,000",50,132,1,2
San Bernardino,31-45,1-10 Years,2022-06-18,Small Business,California,500.0,522.0,4,500,40,108,1,3
Birmingham,46-60,1-10 Years,2020-12-05,Small Business,Alabama,7000.0,7212.0,3,"7,000",48,120,1,4
Los Angeles,0-15,1-10 Years,2020-09-03,Small Business,California,500.0,528.0,6,500,12,108,1,2
Tyler,46-60,11-20 Years,2020-08-08,Small Business,Texas,1000.0,1049.0,5,"1,000",58,132,1,3
Lafayette,16-30,1-10 Years,2021-03-15,Small Business,Louisiana,500.0,511.0,2,500,17,84,1,3
Lubbock,61-75,21-30 Years,2020-12-19,Commercial,Texas,500.0,522.0,4,500,71,288,1,3
Vienna,16-30,1-10 Years,2021-07-13,Home Office,Virginia,1000.0,1088.0,9,"1,000",27,60,1,4
Washington,76-90,1-10 Years,2021-08-12,Home Office,District of Columbia,500.0,543.0,9,500,89,48,1,1
Salt Lake City,16-30,11-20 Years,2020-11-01,Small Business,Utah,500.0,520.0,4,500,28,180,1,2
Dayton,61-75,1-10 Years,2021-11-07,Small Business,Ohio,2000.0,2118.0,6,"2,000",62,108,1,2
Pompano Beach,46-60,1-10 Years,2020-05-19,Small Business,Florida,500.0,516.0,3,500,47,108,1,1
Charleston,76-90,1-10 Years,2019-10-21,Small Business,West Virginia,2000.0,2046.0,2,"2,000",81,96,1,4
Kansas City,61-75,11-20 Years,2022-02-12,Commercial,Missouri,500.0,523.0,5,500,68,240,1,2
Pompano Beach,46-60,21-30 Years,2022-07-09,Commercial,Florida,500.0,526.0,5,500,59,324,1,1
Lansing,76-90,11-20 Years,2019-08-09,Commercial,Michigan,8000.0,8340.0,4,"8,000",84,180,1,2
Salt Lake City,0-15,21-30 Years,2022-04-09,Commercial,Utah,500.0,525.0,5,500,1,312,1,4
Augusta,31-45,11-20 Years,2019-11-12,Small Business,Georgia,500.0,534.0,7,500,42,180,1,4
Fort Worth,0-15,1-10 Years,2019-07-07,Small Business,Texas,500.0,534.0,7,500,14,60,1,1
Waterbury,61-75,1-10 Years,2021-10-06,Small Business,Connecticut,1000.0,1022.0,2,"1,000",67,120,1,1
Lima,46-60,11-20 Years,2020-08-17,Small Business,Ohio,500.0,524.0,5,500,54,144,1,3
Fort Worth,46-60,11-20 Years,2020-04-13,Commercial,Texas,7000.0,7296.0,4,"7,000",55,180,1,3
Richmond,31-45,11-20 Years,2021-07-11,Commercial,Virginia,1000.0,1067.0,7,"1,000",37,240,1,3
Independence,90+,1-10 Years,2019-12-12,Home Office,Missouri,9000.0,9607.0,7,"9,000",92,48,1,3
Saint Paul,16-30,1-10 Years,2019-10-30,Business,Minnesota,3000.0,3182.0,6,"3,000",30,120,1,1
Saint Paul,46-60,1-10 Years,2022-02-05,Business,Minnesota,500.0,521.0,4,500,54,108,1,2
Metairie,31-45,21-30 Years,2022-07-07,Commercial,Louisiana,500.0,528.0,6,500,33,336,1,1
Tampa,61-75,21-30 Years,2022-06-12,Commercial,Florida,3000.0,3179.0,6,"3,000",72,300,1,1
New Castle,90+,21-30 Years,2020-05-20,Home Mortgage,Pennsylvania,500.0,526.0,5,500,93,336,1,4
Grand Rapids,76-90,21-30 Years,2021-12-15,Home Mortgage,Michigan,500.0,522.0,4,500,79,252,1,1
Saint Louis,16-30,21-30 Years,2019-07-25,Home Mortgage,Missouri,500.0,526.0,5,500,21,348,1,4
Houston,90+,21-30 Years,2021-07-18,Home Mortgage,Texas,26000.0,27154.0,4,"26,000",94,300,1,3
Kansas City,16-30,21-30 Years,2021-09-02,Home Mortgage,Missouri,500.0,523.0,5,500,28,288,1,3
Gadsden,0-15,11-20 Years,2021-02-26,Home Mortgage,Alabama,1000.0,1046.0,5,"1,000",10,240,1,3
Grand Junction,16-30,11-20 Years,2021-11-15,Home Mortgage,Colorado,500.0,521.0,4,500,23,216,1,3
Dallas,61-75,11-20 Years,2022-05-02,Home Mortgage,Texas,3000.0,3124.0,4,"3,000",65,240,1,3
Beaumont,46-60,21-30 Years,2019-10-16,Home Mortgage,Texas,5000.0,5290.0,6,"5,000",49,312,1,2
New Hyde Park,46-60,21-30 Years,2022-03-07,Home Mortgage,New York,1000.0,1051.0,5,"1,000",52,324,1,2
San Francisco,76-90,21-30 Years,2022-03-20,Commercial,California,500.0,534.0,7,500,90,276,1,3
Boston,76-90,11-20 Years,2020-05-29,Commercial,Massachusetts,1000.0,1067.0,7,"1,000",80,168,1,2
Orlando,31-45,11-20 Years,2022-02-02,Commercial,Florida,1000.0,1055.0,6,"1,000",35,144,1,4
Tallahassee,46-60,21-30 Years,2020-11-19,Commercial,Florida,3000.0,3137.0,5,"3,000",58,252,1,3
Santa Rosa,76-90,11-20 Years,2021-10-02,Commercial,California,18000.0,18976.0,5,"18,000",85,240,1,4
Fort Worth,0-15,11-20 Years,2020-05-01,Commercial,Texas,500.0,521.0,4,500,9,132,1,3
Denver,16-30,11-20 Years,2019-07-31,Commercial,Colorado,500.0,529.0,6,500,24,216,1,4
Oakland,76-90,21-30 Years,2022-04-28,Commercial,California,500.0,532.0,6,500,81,324,1,4
Louisville,76-90,21-30 Years,2020-01-13,Commercial,Kentucky,500.0,533.0,7,500,77,300,1,1
Prescott,46-60,21-30 Years,2020-05-09,Commercial,Arizona,500.0,528.0,6,500,50,348,1,1
Atlanta,61-75,11-20 Years,2020-09-01,Small Business,Georgia,500.0,521.0,4,500,63,180,1,1
Tyler,76-90,11-20 Years,2020-01-12,Small Business,Texas,500.0,521.0,4,500,86,168,1,3
Chicago,31-45,11-20 Years,2021-11-01,Small Business,Illinois,2000.0,2115.0,6,"2,000",35,168,1,2
Sacramento,76-90,1-10 Years,2021-07-12,Business,California,1500.0,1561.0,4,"1,500",81,84,1,2
Boise,76-90,11-20 Years,2019-09-06,Commercial,Idaho,500.0,528.0,6,500,80,228,1,2
Austin,46-60,11-20 Years,2022-01-06,Commercial,Texas,3000.0,3120.0,4,"3,000",56,240,1,3
Newport News,46-60,1-10 Years,2021-05-15,Commercial,Virginia,500.0,529.0,6,500,60,120,1,1
Tacoma,76-90,11-20 Years,2021-03-20,Commercial,Washington,500.0,529.0,6,500,87,168,1,3
Dayton,31-45,11-20 Years,2021-01-13,Commercial,Ohio,1000.0,1054.0,5,"1,000",41,144,1,1
Carol Stream,76-90,21-30 Years,2020-10-23,Commercial,Illinois,1000.0,1064.0,6,"1,000",87,252,1,1
Montgomery,61-75,21-30 Years,2021-09-23,Commercial,Alabama,500.0,530.0,6,500,62,288,1,3
London,76-90,11-20 Years,2022-07-12,Home Mortgage,Kentucky,500.0,527.0,5,500,85,180,1,4
Newton,31-45,21-30 Years,2020-01-01,Home Mortgage,Massachusetts,500.0,527.0,5,500,45,300,1,2
Hartford,31-45,21-30 Years,2022-07-20,Home Mortgage,Connecticut,1000.0,1042.0,4,"1,000",37,300,1,4
Austin,16-30,21-30 Years,2021-02-04,Home Mortgage,Texas,1000.0,1047.0,5,"1,000",19,288,1,2
Lansing,0-15,21-30 Years,2019-11-01,Home Mortgage,Michigan,500.0,517.0,3,500,2,312,1,3
Charleston,90+,1-10 Years,2021-02-12,Small Business,West Virginia,1000.0,1034.0,3,"1,000",92,72,1,2
Gainesville,90+,1-10 Years,2020-01-31,Small Business,Georgia,1000.0,1064.0,6,"1,000",93,108,1,3
Denver,16-30,11-20 Years,2022-06-01,Small Business,Colorado,1000.0,1048.0,5,"1,000",19,180,1,4
Lubbock,61-75,1-10 Years,2019-10-26,Small Business,Texas,500.0,525.0,5,500,65,108,1,2
Buffalo,31-45,1-10 Years,2022-02-03,Small Business,New York,500.0,520.0,4,500,40,60,1,4
Dayton,0-15,21-30 Years,2021-08-28,Commercial,Ohio,500.0,524.0,5,500,7,324,1,4
Santa Fe,61-75,11-20 Years,2022-07-08,Commercial,New Mexico,3000.0,3202.0,7,"3,000",62,144,1,3
Fresno,31-45,21-30 Years,2020-12-16,Commercial,California,1000.0,1063.0,6,"1,000",33,360,1,4
Los Angeles,76-90,1-10 Years,2022-05-23,Small Business,California,4000.0,4186.0,5,"4,000",81,96,1,3
New York City,61-75,1-10 Years,2021-12-06,Small Business,New York,1000.0,1065.0,7,"1,000",70,60,1,2
Colorado Springs,76-90,11-20 Years,2020-06-03,Commercial,Colorado,3000.0,3153.0,5,"3,000",78,216,1,1
Alhambra,16-30,11-20 Years,2021-04-25,Commercial,California,500.0,534.0,7,500,27,216,1,3
Asheville,46-60,11-20 Years,2019-10-20,Commercial,North Carolina,1000.0,1042.0,4,"1,000",47,228,1,2
Houston,31-45,21-30 Years,2022-03-26,Commercial,Texas,1000.0,1061.0,6,"1,000",37,252,1,3
Las Vegas,46-60,21-30 Years,2021-11-20,Home Mortgage,Nevada,500.0,518.0,4,500,49,288,1,4
New York City,46-60,21-30 Years,2022-02-14,Home Mortgage,New York,500.0,520.0,4,500,55,360,1,1
Columbia,76-90,21-30 Years,2022-06-15,Home Mortgage,South Carolina,3000.0,3110.0,4,"3,000",88,252,1,3
Vancouver,16-30,21-30 Years,2020-12-30,Home Mortgage,Washington,1000.0,1042.0,4,"1,000",23,312,1,4
Dallas,90+,21-30 Years,2021-06-20,Home Mortgage,Texas,13000.0,13601.0,5,"13,000",94,300,1,3
Tacoma,31-45,11-20 Years,2022-02-27,Home Mortgage,Washington,4000.0,4128.0,3,"4,000",33,240,1,1
Monroe,61-75,21-30 Years,2020-01-30,Home Mortgage,Louisiana,4000.0,4131.0,3,"4,000",72,252,1,1
Richmond,76-90,11-20 Years,2019-09-04,Home Mortgage,California,500.0,520.0,4,500,89,240,1,3
Washington,46-60,11-20 Years,2022-07-08,Home Mortgage,District of Columbia,2000.0,2099.0,5,"2,000",52,216,1,3
Cincinnati,16-30,21-30 Years,2022-05-05,Home Mortgage,Ohio,500.0,528.0,6,500,26,264,1,2
Biloxi,46-60,21-30 Years,2021-08-09,Home Mortgage,Mississippi,4000.0,4130.0,3,"4,000",55,264,1,2
Chicago,46-60,1-10 Years,2022-03-10,Home Office,Illinois,2000.0,2156.0,8,"2,000",52,12,1,1
Huntington,46-60,1-10 Years,2021-03-17,Home Office,West Virginia,5000.0,5423.0,8,"5,000",54,24,1,3
Cincinnati,31-45,1-10 Years,2021-12-02,Home Office,Ohio,500.0,538.0,8,500,33,12,1,2
New York City,0-15,1-10 Years,2021-04-04,Small Business,New York,2000.0,2096.0,5,"2,000",10,84,1,2
Palo Alto,31-45,1-10 Years,2021-06-11,Small Business,California,500.0,533.0,7,500,33,84,1,3
Wilmington,46-60,1-10 Years,2019-07-02,Small Business,Delaware,4000.0,4211.0,5,"4,000",60,120,1,4
Peoria,0-15,1-10 Years,2021-07-07,Small Business,Arizona,500.0,518.0,4,500,10,84,1,2
Charleston,0-15,1-10 Years,2020-06-14,Small Business,West Virginia,4000.0,4242.0,6,"4,000",9,96,1,4
San Diego,0-15,11-20 Years,2021-01-07,Small Business,California,500.0,521.0,4,500,3,132,1,1
Huntington,61-75,1-10 Years,2021-07-06,Small Business,West Virginia,500.0,515.0,3,500,63,96,1,3
San Bernardino,31-45,1-10 Years,2020-11-26,Business,California,500.0,534.0,7,500,34,72,1,3
Helena,46-60,21-30 Years,2022-05-21,Commercial,Montana,1000.0,1049.0,5,"1,000",58,252,1,4
Cleveland,0-15,11-20 Years,2021-06-09,Commercial,Ohio,500.0,526.0,5,500,9,132,1,2
Lubbock,61-75,11-20 Years,2022-03-18,Commercial,Texas,1000.0,1067.0,7,"1,000",65,168,1,3
El Paso,76-90,21-30 Years,2020-05-18,Commercial,Texas,2000.0,2085.0,4,"2,000",84,276,1,3
Austin,0-15,21-30 Years,2020-03-27,Commercial,Texas,500.0,532.0,6,500,4,324,1,2
Omaha,0-15,21-30 Years,2020-11-09,Commercial,Nebraska,2000.0,2087.0,4,"2,000",2,360,1,2
Lees Summit,31-45,11-20 Years,2020-07-11,Commercial,Missouri,2000.0,2104.0,5,"2,000",41,180,1,4
Syracuse,16-30,11-20 Years,2021-11-13,Commercial,New York,500.0,526.0,5,500,23,180,1,2
Houston,61-75,21-30 Years,2021-10-25,Home Mortgage,Texas,500.0,518.0,4,500,61,288,1,4
Duluth,31-45,21-30 Years,2019-09-26,Home Mortgage,Minnesota,500.0,522.0,4,500,39,360,1,1
Lexington,31-45,11-20 Years,2021-04-27,Commercial,Kentucky,500.0,533.0,7,500,33,216,1,1
Riverside,0-15,21-30 Years,2022-06-08,Commercial,California,3000.0,3139.0,5,"3,000",15,264,1,4
Baltimore,76-90,21-30 Years,2021-10-07,Commercial,Maryland,500.0,530.0,6,500,83,348,1,4
Atlanta,61-75,1-10 Years,2021-06-22,Small Business,Georgia,500.0,525.0,5,500,61,60,1,2
Wilkes Barre,0-15,11-20 Years,2022-06-16,Commercial,Pennsylvania,13000.0,13641.0,5,"13,000",11,168,1,2
San Antonio,46-60,21-30 Years,2019-10-11,Commercial,Texas,500.0,522.0,4,500,53,288,1,4
Kansas City,31-45,11-20 Years,2021-01-11,Commercial,Missouri,4000.0,4278.0,7,"4,000",31,180,1,1
Norwalk,76-90,21-30 Years,2022-06-23,Commercial,Connecticut,1000.0,1067.0,7,"1,000",78,324,1,4
San Jose,46-60,11-20 Years,2019-11-14,Commercial,California,500.0,521.0,4,500,57,168,1,3
San Diego,31-45,11-20 Years,2020-07-25,Commercial,California,1000.0,1048.0,5,"1,000",38,216,1,3
Corpus Christi,16-30,11-20 Years,2022-04-30,Home Mortgage,Texas,500.0,519.0,4,500,19,228,1,2
Pueblo,46-60,11-20 Years,2021-07-11,Home Mortgage,Colorado,1000.0,1041.0,4,"1,000",57,192,1,2
Saint Augustine,0-15,1-10 Years,2020-04-09,Home Office,Florida,1000.0,1073.0,7,"1,000",6,48,1,4
Memphis,46-60,1-10 Years,2020-01-08,Small Business,Tennessee,500.0,517.0,3,500,47,72,1,2
Minneapolis,0-15,1-10 Years,2022-03-25,Small Business,Minnesota,1000.0,1034.0,3,"1,000",7,120,1,2
Saint Petersburg,90+,11-20 Years,2021-02-08,Small Business,Florida,500.0,525.0,5,500,95,132,1,3
Louisville,0-15,11-20 Years,2020-10-11,Home Mortgage,Kentucky,2000.0,2078.0,4,"2,000",2,180,1,1
Spring,31-45,21-30 Years,2022-04-02,Home Mortgage,Texas,11000.0,11481.0,4,"11,000",38,324,1,3
Detroit,61-75,11-20 Years,2021-09-30,Home Mortgage,Michigan,500.0,522.0,4,500,68,216,1,3
New Orleans,16-30,1-10 Years,2019-10-12,Home Office,Louisiana,500.0,533.0,7,500,20,48,1,1
Portland,61-75,1-10 Years,2020-02-08,Small Business,Oregon,500.0,515.0,3,500,64,96,1,3
Las Vegas,46-60,11-20 Years,2022-07-01,Small Business,Nevada,500.0,512.0,2,500,59,180,1,2
Homestead,90+,1-10 Years,2021-01-16,Business,Florida,1000.0,1056.0,6,"1,000",95,108,1,4
Fort Lauderdale,31-45,21-30 Years,2020-07-05,Commercial,Florida,4000.0,4217.0,5,"4,000",40,324,1,2
Harrisburg,16-30,21-30 Years,2021-01-01,Commercial,Pennsylvania,1000.0,1046.0,5,"1,000",30,312,1,1
Bronx,16-30,21-30 Years,2019-12-24,Commercial,New York,500.0,528.0,6,500,29,288,1,4
Charlotte,16-30,21-30 Years,2020-04-23,Commercial,North Carolina,1000.0,1061.0,6,"1,000",19,312,1,1
Portland,46-60,21-30 Years,2021-08-22,Commercial,Oregon,7000.0,7407.0,6,"7,000",58,264,1,4
Reno,76-90,11-20 Years,2019-11-06,Small Business,Nevada,1000.0,1029.0,3,"1,000",77,156,1,3
Visalia,31-45,21-30 Years,2020-08-05,Commercial,California,1000.0,1064.0,6,"1,000",39,348,1,3
New York City,16-30,1-10 Years,2020-10-15,Commercial,New York,1000.0,1059.0,6,"1,000",28,120,1,3
Salt Lake City,46-60,11-20 Years,2021-03-11,Commercial,Utah,500.0,530.0,6,500,54,192,1,4
San Francisco,16-30,11-20 Years,2019-11-17,Small Business,California,3000.0,3202.0,7,"3,000",27,144,1,3
El Paso,46-60,1-10 Years,2020-08-11,Small Business,Texas,500.0,511.0,2,500,57,96,1,2
Richmond,31-45,11-20 Years,2020-04-12,Small Business,Virginia,1000.0,1042.0,4,"1,000",38,132,1,2
New Haven,46-60,1-10 Years,2021-12-26,Business,Connecticut,500.0,524.0,5,500,53,96,1,4
Hartford,46-60,11-20 Years,2020-11-16,Commercial,Connecticut,1000.0,1066.0,7,"1,000",49,216,1,3
Little Rock,76-90,21-30 Years,2021-01-06,Commercial,Arkansas,500.0,524.0,5,500,90,324,1,2
Portland,90+,21-30 Years,2019-09-22,Commercial,Oregon,500.0,533.0,7,500,91,336,1,1
Evansville,16-30,11-20 Years,2021-04-13,Commercial,Indiana,1000.0,1067.0,7,"1,000",19,192,1,3
Columbus,0-15,21-30 Years,2022-05-11,Home Mortgage,Georgia,500.0,519.0,4,500,9,312,1,2
Kansas City,76-90,21-30 Years,2021-01-29,Home Mortgage,Missouri,1000.0,1057.0,6,"1,000",78,252,1,1
New York City,76-90,21-30 Years,2020-11-05,Home Mortgage,New York,500.0,522.0,4,500,84,336,1,2
El Paso,31-45,1-10 Years,2021-07-03,Small Business,Texas,500.0,513.0,3,500,39,120,1,1
Sacramento,31-45,1-10 Years,2022-04-14,Small Business,California,1000.0,1027.0,3,"1,000",37,120,1,4
